input,reference,greedy,beam
""" it be very ingenious , though ,"" say marianne ; "" papa say so .",""" it was very ingenious , though ,"" said marianne ; "" and papa said so .",""" it is very ingenious , though ,"" said marianne ; "" papa say so .",""" it is very ingenious , though ,"" said marianne ; "" papa say so ."
"they may be progress uphill down ; they may be grow steadily well steadily bad ; they have steadily increase in certain definable matter ; they have steadily advance in certain definable direction ; they be only two thing , it seem , that ever _can_ progress .","they may be uphill and down ; they may be growing steadily better or steadily worse ; but they have steadily increased in certain definable matters ; they have steadily advanced in a certain definable direction ; they are the only two things , it seems ,","they may be progress the antelope down ; they may be grown steadily well steadily bad ; they have steadily increased in certain a matter ; and they had steadily advancing in certain definable and tropical ; they are only two things , and it seems , that","they may be all progress to down ; they may be grown growing steadily well steadily bad ; they have steadily increased in certain a matter ; and they had steadily advancing in certain definable and tropical ; and they are only two things , it seems ,"
"5 : 33 ye shall walk in all way which lord your god hath command you , that ye may live , that it may be well with you , that ye may prolong your day in land which ye shall possess .","5 : 33 ye shall walk in all the ways which the lord your god hath commanded you , that ye may live , and that it may be well with you , and that ye may prolong your days in the land which ye shall possess .","5 : 33 ye shall walk in all the way which the lord your god hath commanded you , that ye may live , that it may be well with you , that ye may prolong your days in the land which ye shall possess .","5 : 33 ye shall walk in all the way which the lord your god hath commanded you , that ye may live , that it may be well with you , that ye may prolong your days in the land which ye shall possess ."
"mr . spencer tell me that be bad than robbing .""","mr . spencer told me that was worse than robbing .""","mr . spencer told me that is worse than robbing .""","mr . spencer told me that is worse than robbing ."""
"time now approach for lady russell ' s return : day be even fix ; anne , be engage join her as soon a she be  , be look forward early removal kellynch , begin think how her own comfort be likely be affect by it .","the time now approached for lady russell ' s return : the day was even fixed ; and anne , being engaged to join her as soon as she was , was looking forward to an early removal to kellynch , and beginning to think how her","this time now approached for lady russell ' s return : the day was even fixed ; and anne , was engaging to join her as soon as she was , was looking forward early to removal to kellynch , began to think how her own comfort","this time now approached for lady russell ' s return : the day was even fixed ; and anne , was engaging to join her as soon as she was , was looking forward early and removal to kellynch , began to think how her own comfort"
"11 : 24 shooter shoot from off wall upon thy servant ; of king ' s servant be dead , thy servant uriah hittite be dead also .","11 : 24 and the shot from off the wall upon thy servants ; and some of the king ' s servants be dead , and thy servant uriah the hittite is dead also .","11 : 24 and the trembling shot from off the wall upon thy servants ; and of the king ' s servants was dead , and thy servants uriah the hittite was dead also .","11 : 24 and the trembling shot from off the wall upon thy servants ; and of the king ' s servants was dead , and thy servants uriah the hittite was dead also ."
", redeem me from hand of mighty ?","or , redeem me from the hand of the mighty ?","no , redeemed me from the hand of the mighty ?","no , redeemed me from the hand of the mighty ?"
"rory sings , lord john sings with him .","rory sings , and lord john sings with him .","rory sings , lord john sings with him .","rory sings , lord john sings with him ."
"19 : 43 for day shall come upon thee , that thine enemy shall cast trench about thee , compass thee round , keep thee in on side , 19 : 44 shall lay thee even with ground , thy child within thee ; they shall not leave","19 : 43 for the days shall come upon thee , that thine enemies shall cast a trench about thee , and compass thee round , and keep thee in on every side , 19 : 44 and shall lay thee even with the ground , and thy","19 : 43 for day shall come upon thee , that thine enemies shall cast the trench about thee , and compass thee round , keep thee in on the side , 19 : 44 and shall lay thee even with ground , and thy child within thee","19 : 43 for day shall come upon thee , that thine enemies shall cast the trench about thee , and compass thee round , keep thee in on the side , 19 : 44 and shall lay thee even with ground , and thy child within thee"
what not put vpon his  officer ?,what not put vpon his officers ?,what not put vpon his officers ?,what not put vpon his officers ?
"he do not mean complain , however .","he did not mean to complain , however .","he did not mean to complain , however .","he did not mean to complain , however ."
how can bird that be bear for joy sit in cage sing ?,how can the bird that is born for joy sit in a cage and sing ?,how can bird that is born for joy to sit in the cage sing ?,how can bird that is born for joy to sit in the cage sing ?
"by right wrong , i mean lucky unlucky .""","by right and wrong , i mean lucky and unlucky .""","by right wrong , i mean lucky unlucky .""","by right wrong , i mean lucky unlucky ."""
""" stay !",""" but stay !",""" stay !",""" stay !"
""" i think it be bit queer than ,"" say syme .",""" i think it is a bit than that ,"" said syme .",""" i thought it is a bit queer than ,"" said syme .",""" i thought it is a bit queer than ,"" said syme ."
"form , quality , life , humanity , language , thought , one know , one unknown , one on star , star themselves , shape , others  , wonder a of country , soil , tree , city , inhabitant , whatever they may be ,","forms , qualities , lives , humanity , language , thoughts , the ones known , and the ones unknown , the ones on the stars , the stars themselves , some shaped , others , wonders as of those countries , the soil , trees ,","forms , qualities , life , humanities , language , thoughts , one know , one unknown , one on stars , stared themselves , shapes , others , wondering as of countries , and soil , trees , cities , whatever they may , and shapes","forms , qualities , life , humanities , language , thoughts , one know , one unknown , one on stars , stared themselves , shapes , others , wondering as of countries , and soil , trees , cities , whatever they may , and shapes"
"great joy be at their meeting , at sight of  bridge his joy encreased .","great joy was at their meeting , and at sight of that bridge his joy encreased .","a great joy was at their meeting , at the sight of bridge his joy and .","a great joy was at their meeting , at the sight of bridge his joy and ."
"what would become of greenland whale , say , in shuddering , icy sea of north , if unsupplied with his cosy surtout ?","what would become of a greenland whale , say , in those shuddering , icy seas of the north , if unsupplied with his cosy surtout ?","what would become of greenland whales , saying , in the shuddering , the icy the icy of the north , if zimri with his cosy trunk ?","what would become of the greenland whale , saying , in the shuddering , the icy sea of the north , if zimri with his cosy trunk ?"
school schoolmaster .,schools and schoolmasters .,school schoolmaster .,school schoolmaster .
"cry harriet , come eagerly into room -- "" be not odd news that ever be ?""","cried harriet , coming eagerly into the room -- "" is not this the oddest news that ever was ?""","cried harriet , come eagerly into the room -- "" is not odd news that ever was ?""","cried harriet , come eagerly into the room -- "" is not odd news that ever was ?"""
"with bent head half - slouch hat he continue pace , unmindful of wonder whispering among men ; till stubb cautiously whisper flask , that ahab must have summon them there for purpose of witness pedestrian feat .","with bent head and half - slouched hat he continued to pace , unmindful of the wondering whispering among the men ; till stubb cautiously whispered to flask , that ahab must have summoned them there for the purpose of witnessing a pedestrian feat .","with bent head half - slouched hated he continued pace , unmindful of wonder whispering among men ; till stubb whispered whispered flask , that ahab must summon them there for purpose of appearing and habitual .","with bent head half - slouching hated he continued pace , unmindful of wonder whispering among men ; till stubb whispered whispered flask , that ahab must summon them there for purpose of appearing and habitual ."
"8 : 9 they which hear it , be convict by their own conscience , go out one by one , begin at eldest , even unto last : jesus be leave alone , woman stand in midst .","8 : 9 and they which heard it , being convicted by their own conscience , went out one by one , beginning at the eldest , even unto the last : and jesus was left alone , and the woman standing in the midst .","8 : 9 and they which heard it , was convicted by their own conscience , went out one by one , and began at the eldest , even unto last : jesus was left alone , and a woman stood in the midst .","8 : 9 and they which heard it , was convicted by their own conscience , went out one by one , and began at the eldest , even unto last : jesus was left alone , and a woman stood in the midst ."
"14 : 44 they presume go up unto hill top : nevertheless ark of covenant of lord , moses , depart not out of camp .","14 : 44 but they presumed to go up unto the hill top : nevertheless the ark of the covenant of the lord , and moses , departed not out of the camp .","14 : 44 and they presumed went up unto the hill and top : nevertheless the ark of the covenant of the lord , moses , and departed not out of the camp .","14 : 44 and they presumed went up unto the hill top : nevertheless the ark of the covenant of the lord , moses , and departed not out of the camp ."
colonel campbell rather prefer olive .,colonel campbell rather preferred an olive .,colonel campbell rather preferred preferred .,colonel campbell rather preferred preferred .
"20 : 20 he say , thou shalt not go through .","20 : 20 and he said , thou shalt not go through .","20 : 20 and he said , thou shalt not go through .","20 : 20 and he said , thou shalt not go through ."
"o banquo , banquo , our royall master ' s murther ' d","o banquo , banquo , our royall master ' s murther ' d","o banquo , banquo , our royall master ' s murther ' d","o banquo , banquo , our royall master ' s murther ' d"
13 : 44 next sabbath day come almost whole city together hear word of god .,13 : 44 and the next sabbath day came almost the whole city together to hear the word of god .,13 : 44 and the next sabbath day came almost the whole city together heard the words of god .,13 : 44 and the next sabbath day came almost the whole city together heard the words of god .
"harriet have be at hartfield , a usual , soon after breakfast ; , after time , have go home return again dinner : she return , sooner than have be talk of , with agitate , hurried look , announce something extraordinary have happen which she be","harriet had been at hartfield , as usual , soon after breakfast ; and , after a time , had gone home to return again to dinner : she returned , and sooner than had been talked of , and with an agitated , hurried look , announcing","harriet had been at hartfield , as usual , soon after breakfast ; and , after time , had gone home to return again to dinner : she returned , sooner than having been talking of , with agitated , hurried look , announcing something to have happened","harriet had been at hartfield , as usual , soon after breakfast ; and , after time , had gone home to return again to dinner : she returned , sooner than having been talking of , with agitated , hurried look , and announced something ."""
"7 : 29 lo , only have i find , that god hath make man upright ; they have seek out many invention .","7 : 29 lo , this only have i found , that god hath made man upright ; but they have sought out many inventions .","7 : 29 lo , only have i found , that god hath made a man upright ; they have sought out many invention .","7 : 29 lo , only have i found , that god hath made a man upright ; they have sought out many invention ."
"17 : 2 if there be find among you , within of thy gate which lord thy god giveth thee , man woman , that hath wrought wickedness in sight of lord thy god , in transgress his covenant , 17 : 3 hath go serve other god","17 : 2 if there be found among you , within any of thy gates which the lord thy god giveth thee , man or woman , that hath wrought wickedness in the sight of the lord thy god , in transgressing his covenant , 17 : 3","17 : 2 if there be found among you , within of thy gates which the lord thy god giveth thee , and a man woman , that hath wrought wickedness in the sight of the lord thy god , in transgress his covenant , 17 : 3","17 : 2 if there be found among you , within of thy gates which the lord thy god giveth thee , a man woman , that hath wrought wickedness in the sight of the lord thy god , in transgress his covenant , 17 : 3 hath"
"24 : 12 he say o lord god of my master abraham , i pray thee , send me good speed day , shew kindness unto my master abraham .","24 : 12 and he said o lord god of my master abraham , i pray thee , send me good speed this day , and shew kindness unto my master abraham .","24 : 12 and he said o lord god of my master abraham , i pray thee , send me good speed this day , shew kindness unto my master abraham .","24 : 12 and he said o lord god of my master abraham , i pray thee , send me good speed this day , shew kindness unto my master abraham ."
who hath bring up ?,and who hath brought up these ?,who hath brought up ?,who hath brought up ?
""" leonora !""",""" leonora !""",""" leonora !""",""" leonora !"""
"8 : 8 then say he unto me , son of man , dig now in wall : when i have digged in wall , behold door .","8 : 8 then said he unto me , son of man , dig now in the wall : and when i had digged in the wall , behold a door .","8 : 8 then said he unto me , son of man , dig now in the wall : when i had digged in the wall , behold the door .","8 : 8 then said he unto me , son of man , dig now in the wall : when i had digged in the wall , behold the door ."
you be not one of god ' s angel .,you are not one of god ' s angels .,you are not one of god ' s angel .,you are not one of god ' s angel .
"in moment happy sight catch her ;-- mr . knightley lead harriet set !-- never have she be more surprized , seldom more delighted , than at instant .","in another moment a happier sight caught her ;-- mr . knightley leading harriet to the set !-- never had she been more surprized , seldom more delighted , than at that instant .","in a moment happy sight catching her ;-- mr . knightley leading harriet set !-- never had she been more surprized , seldom more delighted , than at all instant .","in a moment happy sight catching her ;-- mr . knightley leading harriet set !-- never had she been more surprized , seldom more delighted , than at all instant ."
"lion people of dublin go on , pursue tailor , until they come place where fox be , fox greet them , say , "" tailor his wife be here morning , if you will loose me , i be swifter than you , i will follow them","the lion and the people of dublin went on , and pursued the tailor , until they came to the place where the fox was , and the fox greeted them , and said , "" the tailor and his wife were here this morning , and if","the lion people of dublin go on , pursued the tailor , until they come to place where the fox is , fox greeting them , saying , "" the tailor and his wife is here morning , if you will loose me , i am swifter than","the lion people of dublin went on , pursued the tailor , until they come to place where the fox was , and the fox greeting them , saying , "" the tailor and his wife is here morning , if you will loose me , i am"
"a it be , such notion have scarcely ever enter her head , except by mr . jennings ' s suggestion ; she could not help believe herself nice observer of two ;-- she watch his eye , while mr . jennings think only of his behaviour ;--","but as it was , such a notion had scarcely ever entered her head , except by mrs . jennings ' s suggestion ; and she could not help believing herself the nicest observer of the two ;-- she watched his eyes , while mrs . jennings thought","as it was , such a notion had scarcely ever entered her head , except by mrs . jennings ' s suggestions ; she could not help believing herself nice of the two ;-- she watched his eyes , while mrs . jennings thought only of the behaviour","as it was , such a notion had scarcely ever entered her head , except by mrs . jennings ' s suggestions ; she could not help believing herself nice of the two ;-- she watched his eyes , while mrs . jennings thought only of the behaviour"
attorney himself be present when harper begin dictate his ballad .,the attorney himself was present when the harper began to dictate his ballad .,attorney himself was present when the harper began to the dictated his ballad .,the attorney himself was present when the harper began dictated his ballad .
"1 : 4 when time be that elkanah offer , he give  his wife , her son her daughter , portion : 1 : 5 unto hannah he give worthy portion ; for he love hannah : lord have shut up her womb .","1 : 4 and when the time was that elkanah offered , he gave to his wife , and to all her sons and her daughters , portions : 1 : 5 but unto hannah he gave a worthy portion ; for he loved hannah : but","1 : 4 and when this time was that elkanah offered , he gave his wife , and her son to her daughter , and portions : 1 : 5 and unto hannah he gave worthy portions ; for he loved hannah : and the lord had","1 : 4 and when this time was that elkanah offered , he gave his wife , and her son and her daughter , and portions : 1 : 5 and unto hannah he gave worthy portions ; for he loved hannah : and the lord had"
"21 : 7 king spar mephibosheth , son of jonathan son of saul , because of lord ' s oath that be between them , between david jonathan son of saul .","21 : 7 but the king spared mephibosheth , the son of jonathan the son of saul , because of the lord ' s oath that was between them , between david and jonathan the son of saul .","21 : 7 and king spared mephibosheth , the son of jonathan the son of saul , because of the lord ' s oath that was between them , between david and jonathan the son of saul .","21 : 7 and king spared mephibosheth , the son of jonathan the son of saul , because of the lord ' s oath that was between them , between david and jonathan the son of saul ."
"she have large acquaintance , of course  , among who can afford buy , she dispose of my merchandise .","she had a large acquaintance , of course , among those who can afford to buy , and she of my merchandise .","she has a large acquaintance , of course , among who can afford to buy , she disposed of my merchandise .","she has a large acquaintance , of course , among who can afford to buy , she disposed of my merchandise ."
15 : 35 samuel come more see saul until day of his death : nevertheless samuel mourn for saul : lord repent that he have make saul king over israel .,15 : 35 and samuel came no more to see saul until the day of his death : nevertheless samuel mourned for saul : and the lord repented that he had made saul king over israel .,15 : 35 and samuel came no more to see saul until the days of his death : nevertheless samuel mourned for saul : and the lord repented that he had made saul and king over israel .,15 : 35 and samuel came more to see saul until the days of his death : nevertheless samuel mourned for saul : and the lord repented that he had made saul and king over israel .
""" well ,"" ask usher , "" do that interest you ?""",""" well ,"" asked usher , "" does that interest you ?""",""" well ,"" asked usher , "" do that interest you ?""",""" well ,"" asked usher , "" do that interest you ?"""
"1 : 2 god be jealous , lord  ; lord  , be furious ; lord will take vengeance on his adversary , he reserveth wrath for his enemy .","1 : 2 god is jealous , and the lord ; the lord , and is furious ; the lord will take vengeance on his adversaries , and he reserveth wrath for his enemies .","1 : 2 and god is jealous , lord ; and the lord , is furious ; and the lord will take vengeance on his adversaries , and he reserveth to wrath for his enemies .","1 : 2 and god is jealous , lord ; and the lord , is furious ; and the lord will take vengeance on his adversaries , and he reserveth to wrath for his enemies ."
"20 : 42 he say unto him , thus saith lord , because thou hast let go out of thy hand man whom i appoint utter destruction , therefore thy life shall go for his life , thy people for his people .","20 : 42 and he said unto him , thus saith the lord , because thou hast let go out of thy hand a man whom i appointed to utter destruction , therefore thy life shall go for his life , and thy people for his people .","20 : 42 and he said unto him , thus saith the lord , because thou hast let go out of thy hand to man whom i appointed utter destruction , therefore thy life shall go for his life , and thy people for his people .","20 : 42 and he said unto him , thus saith the lord , because thou hast let go out of thy hand to man whom i appointed utter destruction , therefore thy life shall go for his life , and thy people for his people ."
"7 : 12 king arose in night , say unto his servant , i will now shew you what syrian have do u .","7 : 12 and the king arose in the night , and said unto his servants , i will now shew you what the syrians have done to us .","7 : 12 and the king arose in the night , saying unto his servants , i will now shew you what the syrians have done us .","7 : 12 and the king arose in the night , saying unto his servants , i will now shew you what the syrians have done us ."
""" here come miss sophy , too .""",""" and here comes miss sophy , too .""",""" here comes miss sophy , too .""",""" here comes miss sophy , too ."""
""" morning ye , shipmate , morning .""",""" morning to ye , shipmates , morning .""",""" morning ye , shipmate , morning .""",""" morning ye , shipmate , morning ."""
"when she have open it , she saw child ; poor baby be cry .","and when she had opened it , she saw the child ; the poor baby was crying .","when she had opened it , she saw a child ; and the poor baby was crying .","when she had opened it , she saw a child ; and the poor baby was crying ."
"not you alone proud truth of world , you alone ye fact of modern science , myth fable of eld , asia ' s , africa ' s fable , far - dart beam of spirit , unloos ' d dream , deep diving bible legend , dare","not you alone proud truths of the world , nor you alone ye facts of modern science , but myths and fables of eld , asia ' s , africa ' s fables , the far - darting beams of the spirit , the unloos ' d dreams","not you alone proud truth of the world , you alone ye fact of modern science , myth the fable of eld , asia ' s , and africa ' s fable , far - darting beams of spirit , unloos ' d dreams , deep deep and","not you alone proud truth of the world , you alone ye fact of modern science , myth the fable of eld , asia ' s , and africa ' s fable , far - darting beams of spirit , unloos ' d dreams , deep arme"
"what be ' t you say , life ?","what is ' t you say , the life ?","what is ' t you say , life ?","what is ' t you say , life ?"
well too,well too,well too,well too
""" not far from sea - side , they have temple , rafter beam of which be make of whale - bone ; for whale of monstrous size be oftentimes cast up dead upon shore .",""" not far from the sea - side , they have a temple , the rafters and beams of which are made of whale - bones ; for whales of a monstrous size are oftentimes cast up dead upon that shore .",""" not far from the sea - side , they have a temple , and rafters the beams of which was made of the whale - bones ; for the whale of monstrous size is oftentimes to cast up dead upon the shore .",""" not far from the sea - side , they have the temple , and rafters the beams of which are made of the whale - bones ; for the whale of monstrous size is oftentimes to cast up dead upon the shore ."
36 : 17 thou hast fulfil judgment of wicked : judgment justice take hold on thee .,36 : 17 but thou hast fulfilled the judgment of the wicked : judgment and justice take hold on thee .,36 : 17 and thou hast fulfilled the judgments of the wicked : and judgment justice took hold on thee .,36 : 17 and thou hast fulfilled the judgments of the wicked : and judgment justice took hold on thee .
""" i think so ,"" be equally grave reply .",""" i think so ,"" was the equally grave reply .",""" i thought so ,"" was equally grave replied .",""" i thought so ,"" was equally grave replied ."
"in life -- a we have elsewhere see -- inclined plane be  fill up , almost square by enormous  mass of junk sperm .","but in life -- as we have elsewhere seen -- this inclined plane is filled up , and almost squared by the enormous mass of the junk and sperm .","in life -- as we have elsewhere seen -- inclined plane is filled up , almost square by the enormous masses of junk and sperm .","in life -- as we have elsewhere seen -- inclined plane is filled up , almost square by the enormous masses of junk and sperm ."
"8 : 33 ner beget kish , kish begat saul , saul begat jonathan , malchishua , abinadab , eshbaal .","8 : 33 and ner begat kish , and kish begat saul , and saul begat jonathan , and malchishua , and abinadab , and eshbaal .","8 : 33 and ner begat kish , and kish begat saul , saul begat jonathan , malchishua , and abinadab , and eshbaal .","8 : 33 and ner begat kish , and kish begat saul , saul begat jonathan , malchishua , and abinadab , and eshbaal ."
"20 : 15 there be gold , multitude of ruby : lip of knowledge be precious jewel .","20 : 15 there is gold , and a multitude of rubies : but the lips of knowledge are a precious jewel .","20 : 15 and there was no gold , and the multitude of the ruby : and the lips of knowledge was precious jewels .","20 : 15 and there was no gold , and the multitude of rubies : and the lips of knowledge was precious jewels ."
""" how sorry i be !",""" how sorry i am !",""" how sorry i am !",""" how sorry i am !"
[ mr .,[ to mrs .,[ mr .,[ mr .
"i must think for ye , i see , regularly .""","i must think for ye all , i see , regularly .""","i must think for ye , i see , regularly .""","i must think for ye , i see , regularly ."""
"5 : 15 so much more go there fame abroad of him : great multitude come together hear , be heal by him of their infirmity .","5 : 15 but so much the more went there a fame abroad of him : and great multitudes came together to hear , and to be healed by him of their infirmities .","5 : 15 so much more go there fame abroad of him : and great multitudes come together to hear , and was healed by him of their infirmities .","5 : 15 so much more go there fame to abroad of him : and great multitudes came together to hear , and was healed by him of their infirmities ."
"nay , let ' s follow him .","nay , let ' s follow him .","nay , let ' s follow him .","nay , let ' s follow him ."
"you , pay defile people -- you liars , mark !","and you , paid to defile the people -- you liars , mark !","you , pay defiled people -- you and all plots , mark !","you , pay defiled the people -- you to observe , mark !"
you see farmer brown ' s boy have just discover buster bear .,you see farmer brown ' s boy had just discovered buster bear .,you see farmer brown ' s boy has just discovered buster bear .,you see farmer brown ' s boy has just discovered buster bear .
"he steal up it very , very softly , so a not frighten fish .","he stole up to it very , very softly , so as not to frighten the fish .","he stole up it very , very softly , so as not frighten .","he stole up it very , very softly , so as not frighten ."
it be commission touch favourite feeling .,it was a commission to touch every favourite feeling .,it was commissioned to touch the favourite feelings .,it was commissioned to touch the favourite feelings .
"nation they shall teach ; for , from day , not only son of abraham ' s loins salvation shall be preach , son of abraham ' s faith wherever through world ; in his seed nation shall be blest .","all nations they shall teach ; for , from that day , not only to the sons of abraham ' s loins salvation shall be preached , but to the sons of abraham ' s faith wherever through the world ; so in his seed all nations shall","the nations they shall teach ; for , from the day , not only the son of abraham ' s decease salvation shall be preaching , the son of abraham ' s faith wherever through the world ; in his seed nation shall be blest .","the nations they shall teach ; for , from the day , not only the son of abraham ' s decease salvation shall be preaching , the son of abraham ' s faith wherever through the world ; in his seed nation shall be blest ."
"anon come in fellow , take off his crowne , kiss it , powres poyson in king eares , exit .","anon comes in a fellow , takes off his crowne , kisses it , and powres poyson in the kings eares , and exits .","anon came in the fellow , and took off his crowne , and kissed it , and powres poyson in king and eares , and exit .","anon came in the fellow , and took off his crowne , and kissed it , powres poyson in king and eares , and exit ."
"4 : 11 tree grow , be strong , height thereof reach unto heaven , sight thereof end of all earth : 4 : 12 leaf thereof be fair , fruit thereof much , in it be meat for : beast of field have shadow under it ,","4 : 11 the tree grew , and was strong , and the height thereof reached unto heaven , and the sight thereof to the end of all the earth : 4 : 12 the leaves thereof were fair , and the fruit thereof much , and in","4 : 11 and the trees grew , and was strong , the height thereof to reach unto heaven , and the sight thereof to the end of all the earth : 4 : 12 and the leaves thereof was fair , and the fruit thereof much ,","4 : 11 and the trees grew , and was strong , and the height thereof reached unto heaven , and the sight thereof to the end of all the earth : 4 : 12 and the leaves thereof was fair , and the fruit thereof much ,"
"do you not come your tardy sonne chide , lap ' t in time passion , let go by th ' important acting of your dread command ?","do you not come your tardy sonne to chide , that laps ' t in time and passion , lets go by th ' important acting of your dread command ?","do you not come your tardy sonne and chide , lap ' t in time passions , let go by th ' important acting of your dread command ?","do you not come your tardy sonne and chide , lap ' t in time passions , let go by th ' important acting of your dread command ?"
""" oh ,"" interrupt susan , with smile blush ; "" be pretty , too good for me , --""",""" oh ,"" interrupted susan , with a smile and a blush ; "" these are all pretty , and too good for me , but --""",""" oh ,"" interrupted susan , with a smile blush ; "" this is pretty , too good for me , --""",""" oh ,"" interrupted susan , with a smile blush ; "" this is pretty , too good for me , --"""
"79 : 2 dead body of thy servant have they give be meat unto fowl of heaven , flesh of thy saint unto beast of earth .","79 : 2 the dead bodies of thy servants have they given to be meat unto the fowls of the heaven , the flesh of thy saints unto the beasts of the earth .","79 : 2 and the dead body of thy servants have they given to be meat unto the fowls of heaven , and the flesh of thy saints unto the beast of the earth .","79 : 2 and the dead body of thy servants have they given to be meat unto the fowls of heaven , and the flesh of thy saints unto the beast of the earth ."
how brave they ' ll think me at home !,how brave they ' ll all think me at home !,how brave they ' ll think me at home !,how brave they ' ll think me at home !
"there be great many of them , enough last me all summer , if i lose customer day ,"" say piedro .","there are a great many of them , enough to last me all the summer , if i lose a customer a day ,"" said piedro .","there was a great many of them , enough last to me all the summer , if i lost customers a day ,"" said piedro .","there was a great many of them , enough last to me all the summer , if i lost customers a day ,"" said piedro ."
chapter 134,chapter 134,chapter 134,chapter 134
"30 : 13 they mar my path , they set forward my calamity , they have helper .","30 : 13 they mar my path , they set forward my calamity , they have no helper .","30 : 13 and they marred my paths , and they set forward to my calamity , and they have helpers .","30 : 13 and they marred my paths , and they set forward to my calamity , and they have helpers ."
"he saw his own customer fall off from him , be tell , whenever he go into market , that his son be such cheat there be deal with him .","he saw his own customers fall off from him , and was told , whenever he went into the market , that his son was such a cheat there was no dealing with him .","he saw his own customers and falling off from him , and was told , whenever he went into the market , that his son was such cheated there was no deal with him .","he saw his own customers fallen off from him , and was told , whenever he went into the market , that his son was such cheated there was a deal with him ."
"thou hast be where bell diver never go ; hast slept by many sailor ' s side , where sleepless mother would give their life lay them down .","thou hast been where bell or diver never went ; hast slept by many a sailor ' s side , where sleepless mothers would give their lives to lay them down .","thou hast been where bell divers never go ; but hast slept by many sailors ' s side , where the sleepless mother would give their life lay them down .","thou hast been where bell divers never go ; but hast slept by many sailors ' s side , where the sleepless mother would give their life lay them down ."
"it put him quite out of heart .""","it puts him quite out of heart .""","it put him quite out of heart .""","it put him quite out of heart ."""
"it be tip of crooked nose , crush against glass ; it look white with pressure ; staring face eye behind it be at first invisible afterwards grey like ghost .","it was the tip of a crooked nose , crushed against the glass ; it looked white with the pressure ; and the staring face and eyes behind it were at first invisible and afterwards grey like a ghost .","it was tipped of crooked nose , crushed against the glass ; and it looked white with pressure ; and the staring face and the eyes behind it was at first invisible afterwards like a ghost .","it was the tip of the crooked nose , crushed against the glass ; and it looked white with pressure ; and the staring face and the eyes behind it was at first invisible afterwards like a ghost ."
art thou worm ?,art thou but a worm ?,art thou worm ?,art thou worm ?
"gratify , however ,  a be letter in material part , it sentiment , she yet find , when it be fold up return mr . weston , that it have not add lasting warmth , that she could still do without writer , that he must","gratifying , however , and as was the letter in the material part , its sentiments , she yet found , when it was folded up and returned to mrs . weston , that it had not added any lasting warmth , that she could still do","but gratify , however , as to be a letter in the material part , its sentiments , she yet found , when it was folding up to return to mrs . weston , that it had not added lasting and lasting , that she could still","but gratify , however , as to be a letter in the material part , its sentiments , she yet found , when it was folding up to return to mrs . weston , that it had not added lasting warmth , that she could still do"
just .,just .,just .,just .
"12 : 39 there they be with david three day , eating drinking : for their brother have prepare for them .","12 : 39 and there they were with david three days , eating and drinking : for their brethren had prepared for them .","12 : 39 and there they were with david three days , eating a drinking : for their brethren had prepared for them .","12 : 39 and there they were with david three days , eating a drinking : for their brethren had prepared for them ."
"perfume therefore my chant , o love , immortal love , give me bathe memory of dead soldier , shroud them , embalm them , cover them over with tender pride .","perfume therefore my chant , o love , immortal love , give me to bathe the memories of all dead soldiers , shroud them , embalm them , cover them all over with tender pride .","perfumed therefore my chant , o love , immortal love , give me bathe the memory of the dead soldiers , and shrouded them , embalmed them , covering them over with tender pride .","perfumed therefore my chant , o love , immortal love , give me bathe the memory of the dead soldiers , and shrouded them , embalmed them , covering them over with tender pride ."
"what ' s hecuba him , he hecuba , that he should weepe for her ?","what ' s hecuba to him , or he to hecuba , that he should weepe for her ?","what ' s to him , he committed , that he should weep for her ?","what ' s him , he committed , that he should weep for her ?"
""" i be sorry find you unwell ,"" reply anne .",""" i am sorry to find you unwell ,"" replied anne .",""" i am sorry to find you unwell ,"" replied anne .",""" i am sorry to find you unwell ,"" replied anne ."
"7 : 12 if he offer it for thanksgiving , then he shall offer with sacrifice of thanksgiving unleavened cake mingle with oil , unleavened wafer anoint with oil , cake mingle with oil , of fine flour , fry .","7 : 12 if he offer it for a thanksgiving , then he shall offer with the sacrifice of thanksgiving unleavened cakes mingled with oil , and unleavened wafers anointed with oil , and cakes mingled with oil , of fine flour , fried .","7 : 12 if he offer it for thanksgiving , then he shall offer with the sacrifice of thanksgiving unleavened cakes with oil , unleavened wafers wafers and wafers with oil , and cake mingled with oil , of fine flour , and fry .","7 : 12 and if he offer it for thanksgiving , then he shall offer with the sacrifice of thanksgiving unleavened cakes with oil , unleavened wafers wafers anointed with oil , and cake mingled with oil , of fine flour , and fry ."
16 : 28 a froward man soweth strife :  separateth chief friend .,16 : 28 a froward man soweth strife : and a separateth chief friends .,16 : 28 a froward man soweth strife strife : and the separateth and the chief friend .,16 : 28 a froward man soweth strife strife : and the separateth the chief friend .
i know your father : hand be not more like,i knew your father : these hands are not more like,i know your father : the hand is not more like,i know your father : the hand is not more like
